dataset,method,utility,valid,runtime_sec,accepted_exact,escalated_exact
adult,cascade_exact_auto,2.428138344717202,1.0,0.04118442210182003,0.0,0.6511627906976745
adult,exact_tree_milp,2.428138377207941,1.0,0.06921053489028516,0.0,0.0
adult,fixed_blend,2.428138344717202,1.0,7.888953320595414e-06,0.0,0.0
adult,utility_router_guarded,2.428138344717202,1.0,7.888953320595414e-06,0.0,0.0
bank,cascade_exact_auto,2.7305241705519623,1.0,0.027141728938818596,0.07017543859649122,0.42105263157894735
bank,exact_tree_milp,343.39708409176,0.6578947368421053,0.07043382192537054,0.0,0.0
bank,fixed_blend,73.94079335367043,0.9298245614035088,0.0001437815719104126,0.0,0.0
bank,utility_router_guarded,73.23917225524468,0.9298245614035088,0.00010714297419771417,0.0,0.0
compas,cascade_exact_auto,1.1431187513793855,1.0,0.03339483946911056,0.0,0.6973684210526315
compas,exact_tree_milp,369.3079217704032,0.631578947368421,0.047374592102929214,0.0,0.0
compas,fixed_blend,1.1431187513793855,1.0,7.802631252592332e-06,0.0,0.0
compas,utility_router_guarded,1.1431187513793855,1.0,7.802631252592332e-06,0.0,0.0
