constraint,method,mean_regret,std_regret,median_regret,q10_regret,q90_regret
r1_all_mutable,fixed_blend,3.7519456411555856,2.292526042083414,3.9159183057213625,0.23767277315110805,6.363122557149621
r1_all_mutable,knn_mean_k5,-33.42220692823725,65.50034026004236,3.4532803567306187,-134.98365490445127,11.810622177408854
r1_all_mutable,learned_router,25.71566313257167,60.97678466643824,3.427318817372262,0.0,103.08161808328171
r1_all_mutable,nn_positive_train,-34.697167279991014,65.44173572167105,2.4603723108643196,-136.21410888094448,10.10877436864892
r1_all_mutable,utility_router_guarded,2.815196391461555,2.0718904938929,2.90480252225595,0.0,5.247767109900287
r2_realistic,fixed_blend,1.3497758158575468,3.0828330017221526,0.0,0.0,4.664438095850318
r2_realistic,knn_mean_k5,4.599124573521838,4.66088319174525,4.9141474419389475,3.112954170245946,8.852462303397273
r2_realistic,learned_router,10.732971337289065,31.243817763808778,0.0,0.0,29.54271521018312
r2_realistic,nn_positive_train,12.652292075237893,23.658927916990038,5.206300741853781,3.3177145503465386,10.519473830574185
r2_realistic,utility_router_guarded,0.8754624494984272,2.7451040478669766,0.0,0.0,2.03154929558608
