dataset,seed,depth,constraint,fixed_alpha,rule_ood_q75,safe_utility_threshold,n_calibration_queries
adult,7,3,r1_all_mutable,0.25,2.296280579819859,1001.331169882917,128
adult,7,3,r2_realistic,1.0,2.296280579819859,2.940827677884706,128
adult,13,3,r1_all_mutable,0.25,2.353341963952865,2.8619847523674182,193
adult,13,3,r2_realistic,1.0,2.353341963952865,3.0497951156085907,193
adult,19,3,r1_all_mutable,0.25,2.4806986424802178,5.154936168013739,160
adult,19,3,r2_realistic,0.25,2.4806986424802178,5.788418730315169,160
german,7,3,r1_all_mutable,0.25,3.632439172490024,10.322431784675764,171
german,7,3,r2_realistic,1.0,3.632439172490024,3.1390938283398238,171
german,13,3,r1_all_mutable,0.9,3.648412403699917,4.064684873523332,265
german,13,3,r2_realistic,1.0,3.648412403699917,3.1833322854898936,265
german,19,3,r1_all_mutable,0.25,3.7305875880982167,9.2660813163698,224
german,19,3,r2_realistic,0.25,3.7305875880982167,11.137968059508596,224
bank,7,3,r1_all_mutable,0.25,2.744606301755084,9.221948462634996,205
bank,7,3,r2_realistic,1.0,2.744606301755084,3.0549907020881912,205
bank,13,3,r1_all_mutable,0.25,2.538877739492244,5.901624265437607,204
bank,13,3,r2_realistic,0.9,2.538877739492244,3.047515283092745,204
bank,19,3,r1_all_mutable,0.25,2.5312567282630347,10.622333070431017,216
bank,19,3,r2_realistic,1.0,2.5312567282630347,3.045734159813446,216
