depth,constraint,method,runtime_sec,utility,valid,cost_l1
2,r1_all_mutable,fixed_blend,9.897820548669705e-05,94.43926724407584,0.9135101010101011,7.089051565385492
2,r1_all_mutable,knn_mean_k5,9.588195535279395e-07,11.561806920422393,1.0,10.162327462471005
2,r1_all_mutable,nn_positive_train,1.1468749909596465e-06,10.144782957380128,1.0,9.31786757831757
2,r1_all_mutable,utility_router,8.588036610168138e-05,93.47110889814876,0.9135101010101011,6.177951543880799
2,r2_realistic,fixed_blend,7.595669777541395e-05,3.093202203261937,1.0,2.546398012681085
2,r2_realistic,knn_mean_k5,9.167580548138983e-07,8.172702125769668,1.0,7.3792143859026735
2,r2_realistic,nn_positive_train,1.0138243224059266e-06,8.196642172667241,1.0,7.43913791423778
2,r2_realistic,utility_router,6.016842188588895e-05,2.6528153891469635,1.0,2.1248488794733857
3,r1_all_mutable,fixed_blend,0.00013408861529846702,180.2465660253483,0.8274624396496698,6.87322001271027
3,r1_all_mutable,knn_mean_k5,9.657554726674126e-07,11.495261217515221,1.0,10.104296857781629
3,r1_all_mutable,nn_positive_train,1.0479718282176104e-06,10.211935286775981,1.0,9.39002114018481
3,r1_all_mutable,utility_router,9.216572048814969e-05,179.16527415132342,0.8274624396496698,5.85468134663698
3,r2_realistic,fixed_blend,0.00011429505929489495,38.245690280355525,0.9646850775193799,2.3913624024931948
3,r2_realistic,knn_mean_k5,8.941557034379786e-07,8.205872584326439,1.0,7.419416822564762
3,r2_realistic,nn_positive_train,1.0029710548119302e-06,100.79638167909803,0.9074462365591397,7.485073241874542
3,r2_realistic,utility_router,0.0001025847877000533,38.245690280355525,0.9646850775193799,2.3913624024931948
4,r1_all_mutable,fixed_blend,0.00012775799629425805,182.14782602602523,0.8254897266616553,6.805941654560956
4,r1_all_mutable,knn_mean_k5,9.022651689488421e-07,11.326460585977529,1.0,9.95105754587273
4,r1_all_mutable,nn_positive_train,1.0958514582049308e-06,10.086981976797444,1.0,9.275822711585084
4,r1_all_mutable,utility_router,8.690464044701157e-05,180.81153132065728,0.8254897266616553,5.545505486648889
4,r2_realistic,fixed_blend,0.00022226384006187087,44.11786680573201,0.9616114869649529,5.063498704554049
4,r2_realistic,knn_mean_k5,9.489248285385307e-07,8.238215264247458,1.0,7.449762269669705
4,r2_realistic,nn_positive_train,1.0354638904005405e-06,133.4239212136355,0.8746121351766513,7.290689929892994
4,r2_realistic,utility_router,0.00021595454784945417,43.911293845702026,0.9616114869649529,4.864478571133059
5,r1_all_mutable,fixed_blend,0.00013037881488704026,144.53193494159834,0.8629001209268883,6.611430197143329
5,r1_all_mutable,knn_mean_k5,1.068318062315612e-06,11.129632438934818,1.0,9.760831754540757
5,r1_all_mutable,nn_positive_train,1.029505157513879e-06,9.83954678572104,1.0,9.036413156673506
5,r1_all_mutable,utility_router,0.00011645704120449667,147.40658557991986,0.859427898704666,6.047602267334429
5,r2_realistic,fixed_blend,0.0004493880732670584,48.95884289068869,0.9581392647427308,6.368096074900412
5,r2_realistic,knn_mean_k5,8.921421356319773e-07,8.0071086772215,1.0,7.227197549811638
5,r2_realistic,nn_positive_train,1.0289383330505364e-06,100.98655069510899,0.9068980414746544,7.145744955173126
5,r2_realistic,utility_router,0.00038708851466843336,48.63163057634974,0.9581392647427308,6.055521321792715
