max_rows,constraint,method,runtime_sec,utility,valid,cost_l1
200,r1_all_mutable,fixed_blend,0.0001618222191205,2.0228224436406834,1.0,1.2329131855480924
200,r1_all_mutable,knn_mean_k5,8.777796109724377e-07,9.338048445807566,1.0,8.531371188055228
200,r1_all_mutable,nn_positive_train,1.1749927782350117e-06,8.468337593999644,1.0,7.8291318554809255
200,r1_all_mutable,utility_router,0.0001618222191205,2.0228224436406834,1.0,1.2329131855480924
200,r2_realistic,fixed_blend,6.569445961051517e-06,2.4590186534546277,1.0,2.0
200,r2_realistic,knn_mean_k5,9.347277227789164e-07,6.666399027978228,1.0,6.049869845202154
200,r2_realistic,nn_positive_train,1.2249931589596802e-06,6.30461328566038,1.0,5.7090854573321455
200,r2_realistic,utility_router,6.569445961051517e-06,2.4590186534546277,1.0,2.0
400,r1_all_mutable,fixed_blend,0.00012692186620007613,229.11337511752188,0.7766715116279069,5.154704984200054
400,r1_all_mutable,knn_mean_k5,9.239295248462017e-07,8.851633552154016,1.0,7.844655644134379
400,r1_all_mutable,nn_positive_train,1.1888989870068292e-06,7.658757621601856,1.0,7.044630945725211
400,r1_all_mutable,utility_router,0.00011637768108490112,229.11337511752188,0.7766715116279069,5.154704984200054
400,r2_realistic,fixed_blend,0.00029161572471585,111.24064398817782,0.8940552325581395,4.732046400907802
400,r2_realistic,knn_mean_k5,9.339913924841947e-07,6.262478861216213,1.0,5.645409120740152
400,r2_realistic,nn_positive_train,1.0386676284576614e-06,5.7578237798879845,1.0,5.188657788430197
400,r2_realistic,utility_router,0.00025875235213635,111.24064398817782,0.8940552325581395,4.732046400907802
600,r1_all_mutable,fixed_blend,9.938994947167828e-05,164.08980784627954,0.8418803418803419,5.3150778445275755
600,r1_all_mutable,knn_mean_k5,9.15064975921797e-07,8.614316342086141,1.0,7.6166594210425265
600,r1_all_mutable,nn_positive_train,1.0986689778649782e-06,7.559664125564031,1.0,6.930675525786375
600,r1_all_mutable,utility_router,8.868866889391458e-05,163.5274376062496,0.8418803418803419,4.787730789493267
600,r2_realistic,fixed_blend,6.5008560683116575e-06,1.933153355454344,1.0,1.5278096398300365
600,r2_realistic,knn_mean_k5,9.580114090210225e-07,6.3409498997000036,1.0,5.72648599162362
600,r2_realistic,nn_positive_train,1.0035278720375245e-06,5.977884403938516,1.0,5.4173145825122795
600,r2_realistic,utility_router,6.5008560683116575e-06,1.933153355454344,1.0,1.5278096398300365
