constraint,method,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
r1_all_mutable,tree_milp_l1,1.0,1.8309631360440086,1.3145313849141045,1.8777429467084639,2.661685157032381,2.324103056934289,0.10402773997015068
r1_all_mutable,nn_positive_train,1.0,9.090967219664519,2.9413773876288842,10.581504702194357,1.844410523703594,9.896704033329776,1.0409097181382038e-06
r1_all_mutable,dice_random,0.9937304075235109,4.23580584756774,2.7064881004383463,3.1230283911671926,3.1098236626965914,11.097562911724754,0.061436545771442974
r1_all_mutable,knn_mean_k5,1.0,9.884695514294883,2.570282939752877,20.87617554858934,1.7759360494957495,11.194894699148714,9.492155000987845e-07
r1_all_mutable,dice_genetic,0.9937304075235109,10.803649616171295,3.380741151204294,11.667192429022082,2.100857444316575,17.898362695308943,0.14459780799290659
r1_all_mutable,utility_router_guarded,0.9608150470219435,5.295303371405187,1.7684274846076602,9.576802507836991,2.0882577479709936,45.27233513704911,8.278369880207421e-05
r1_all_mutable,fixed_blend,0.9608150470219435,6.06345739406092,2.0035003377529192,10.794670846394984,2.023158228783054,46.09161764875455,9.957915350799552e-05
r2_realistic,tree_milp_l1,1.0,1.8416537248862146,1.3174751425322893,1.8918495297805642,2.6715629632719087,2.336980645866029,0.10342430078379257
r2_realistic,utility_router_guarded,0.9952978056426333,2.454699272807951,1.4077042179383192,2.7899686520376177,2.595294685368736,7.685686265581914,4.390360229884354e-05
r2_realistic,knn_mean_k5,1.0,7.465922825177397,2.599575694668373,9.258620689655173,2.1270723800563784,8.247914716668612,9.91850148384287e-07
r2_realistic,fixed_blend,0.9952978056426333,3.011783856785524,1.526120068846171,3.669278996865204,2.548572027664164,8.279727968145181,8.91545431638633e-05
r2_realistic,dice_random,0.9937304075235109,4.4380681462492175,2.935625346404499,3.053627760252366,3.185931509088963,11.306453434539756,0.06419329858822218
r2_realistic,dice_genetic,0.9937304075235109,8.643360233979669,2.97571086036208,9.236593059936908,2.3440859704885226,15.667104959461708,0.1469923661445883
r2_realistic,nn_positive_train,0.987460815047022,7.363170845137652,2.6426524110948213,8.27115987460815,2.144175163366818,20.63754006635114,9.882427331609039e-07
